Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli (RCB),2008-2025,267,259,40,8661,113*,39.54,6519,132.85,8,63,10,771,291
RG Sharma (DCH/MI),2008-2025,272,267,30,7046,109*,29.73,5334,132.09,2,47,18,640,302
S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,222,221,29,6769,106*,35.25,5324,127.14,2,51,11,768,152
DA Warner (DC/SRH),2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236
SK Raina (CSK/GL),2008-2021,205,200,30,5528,100*,32.51,4043,136.73,1,39,8,506,203
MS Dhoni (CSK/RPS),2008-2025,278,242,100,5439,84*,38.3,3957,137.45,,24,6,375,264
KL Rahul (DC/KXIP/LSG/PBKS/RCB/SRH),2013-2025,145,136,23,5222,132*,46.21,3839,136.02,5,40,4,452,208
AB de Villiers (DC/RCB),2008-2021,184,170,40,5162,133*,39.7,3403,151.68,3,40,10,413,251
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2025,198,183,18,5032,105*,30.49,4025,125.01,2,33,13,514,123
CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357
RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),2008-2022,205,197,17,4952,88,27.51,3799,130.35,,27,8,481,182
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2024,257,234,50,4842,97*,26.31,3577,135.36,,22,18,466,161
F du Plessis (CSK/DC/RCB/RPS),2012-2025,154,147,11,4773,96,35.09,3515,135.78,,39,7,439,174
SV Samson (DC/RR),2013-2025,177,172,20,4704,119,30.94,3383,139.04,3,26,11,379,219
AT Rayudu (CSK/MI),2010-2023,204,187,33,4348,100*,28.23,3409,127.54,1,22,14,359,173
SA Yadav (KKR/MI),2012-2025,166,151,28,4311,103*,35.04,2900,148.65,2,29,10,454,168
G Gambhir (DC/KKR),2008-2018,154,152,16,4217,93,31,3404,123.88,,36,12,492,59
JC Buttler (GT/MI/RR),2016-2025,121,119,16,4120,124,40,2758,149.38,7,24,8,407,185
MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2025,174,162,28,3942,114*,29.41,3244,121.51,1,22,14,340,115
SR Watson (CSK/RCB/RR),2008-2020,145,141,16,3874,117*,30.99,2809,137.91,4,21,7,375,190
Shubman Gill (GT/KKR),2018-2025,118,115,17,3866,129,39.44,2787,138.71,4,26,4,372,119
SS Iyer (DC/KKR/PBKS),2015-2025,133,132,23,3731,97*,34.22,2798,133.34,,27,7,314,152
RR Pant (DC/LSG),2016-2025,125,123,19,3553,128*,34.16,2407,147.61,2,19,6,319,170
KA Pollard (MI),2010-2022,189,171,52,3412,87*,28.67,2316,147.32,,16,5,218,223
Q de Kock (DC/KKR/LSG/MI/RCB/SRH),2013-2025,115,115,7,3309,140*,30.63,2469,134.02,2,24,4,325,134
RA Jadeja (CSK/GL/Kochi/RR),2008-2025,254,198,81,3260,77*,27.86,2502,130.29,,5,9,240,117
YK Pathan (KKR/RR/SRH),2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158
DA Miller (GT/KXIP/LSG/RR),2012-2025,141,135,49,3077,101*,35.77,2220,138.6,1,13,4,220,138
Ishan Kishan (GL/MI/SRH),2016-2025,119,112,9,2998,106*,29.1,2178,137.64,1,17,9,288,134
WP Saha (CSK/GT/KKR/KXIP/SRH),2008-2024,170,145,24,2934,115*,24.24,2300,127.56,1,13,7,296,87
BB McCullum (CSK/GL/KKR/Kochi/RCB),2008-2018,109,109,5,2880,158*,27.69,2186,131.74,2,13,6,293,130
N Rana (KKR/MI/RR),2016-2025,118,112,10,2853,87,27.97,2086,136.76,,20,7,261,141
PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),2008-2019,139,137,11,2848,81,22.6,2358,120.78,,13,13,365,49
GJ Maxwell (DC/KXIP/MI/PBKS/RCB),2012-2025,141,135,17,2819,95,23.88,1817,155.14,,18,19,237,161
MA Agarwal (DC/KXIP/PBKS/RCB/RPS/SRH),2011-2025,131,125,5,2756,106,22.96,2064,133.52,1,13,7,273,100
Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,132,126,15,2750,83,24.77,2120,129.71,,13,4,217,149
HH Pandya (GT/MI),2015-2025,152,140,43,2749,91,28.34,1871,146.92,,10,6,207,148
V Sehwag (DC/KXIP),2008-2015,104,104,5,2728,122,27.55,1755,155.44,2,16,7,334,106
AD Russell (DC/KKR),2012-2025,140,115,21,2651,88*,28.2,1522,174.17,,12,6,186,223
M Vijay (CSK/DC/KXIP),2009-2020,106,106,5,2619,127,25.93,2149,121.87,2,13,5,247,91
RD Gaikwad (CSK),2020-2025,71,70,8,2502,108*,40.35,1820,137.47,2,20,7,231,95
SPD Smith (DC/PWI/RPS/RR),2012-2021,103,93,21,2485,101,34.51,1940,128.09,1,11,1,225,60
SE Marsh (KXIP),2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78
JH Kallis (KKR/RCB),2008-2014,98,96,11,2427,89*,28.55,2222,109.22,,17,9,255,44
DR Smith (CSK/DCH/GL/MI),2008-2017,91,89,5,2385,87*,28.39,1764,135.2,,17,8,245,117
SR Tendulkar (MI),2008-2013,78,78,11,2334,100*,34.83,1948,119.81,1,13,4,295,29
N Pooran (KXIP/LSG/PBKS/SRH),2019-2025,90,87,20,2293,87*,34.22,1357,168.97,,14,9,157,167
RA Tripathi (CSK/KKR/RPS/RR/SRH),2017-2025,100,98,11,2291,93,26.33,1662,137.84,,12,4,229,85
R Dravid (RCB/RR),2008-2013,89,82,5,2174,75*,28.23,1882,115.51,,11,3,268,28
YBK Jaiswal (RR),2020-2025,67,66,3,2166,124,34.38,1417,152.85,2,15,4,258,92
KS Williamson (GT/SRH),2015-2024,79,77,17,2128,89,35.46,1694,125.61,,18,2,185,64
AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,92,90,7,2091,88*,25.19,1631,128.2,,15,8,214,78
AC Gilchrist (DCH/KXIP),2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,7,239,92
JP Duminy (DC/DCH/MI),2009-2018,83,77,26,2029,78*,39.78,1636,124.02,,14,1,126,79
MP Stoinis (DC/KXIP/LSG/PBKS/RCB),2016-2025,109,99,27,2026,124*,28.13,1400,144.71,1,9,9,158,106
MEK Hussey (CSK/MI),2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,1,198,52
AR Patel (DC/KXIP),2014-2025,162,124,37,1916,66,22.02,1430,133.98,,3,7,130,94
